st,week,cnt
AL,-2.0,204
AL,-1.0,2103
AL,1.0,49415
AL,2.0,23908
AL,4.0,6939
AL,5.0,2988
AR,-1.0,3209
AR,1.0,499
AZ,-4.0,9819
AZ,-3.0,7330
AZ,-2.0,2645
AZ,-1.0,40427
AZ,0.0,2650
AZ,1.0,168500
AZ,2.0,51396
AZ,3.0,25065
AZ,4.0,16883
AZ,5.0,10257
CA,-5.0,14112
CA,-4.0,43377
CA,-3.0,70232
CA,-2.0,44608
CA,-1.0,329700
CA,0.0,67443
CA,1.0,1167398
CA,2.0,412324
CA,3.0,330785
CA,4.0,570821
CA,5.0,118093
CO,-5.0,1586
CO,-2.0,28158
CO,-1.0,17718
CO,0.0,4241
CO,1.0,180755
CO,2.0,69289
CO,3.0,51355
CO,4.0,47987
CO,5.0,7746
CT,-4.0,5094
CT,-3.0,4624
CT,-2.0,80
CT,-1.0,6654
CT,0.0,19495
CT,1.0,23647
CT,2.0,2072
CT,3.0,8851
CT,4.0,4280
CT,5.0,3712
DC,-5.0,1986
DC,-4.0,27237
DC,-3.0,35936
DC,-2.0,39593
DC,-1.0,111980
DC,0.0,36353
DC,1.0,365725
DC,2.0,131108
DC,3.0,109265
DC,4.0,54109
DC,5.0,17657
DE,-5.0,4069
DE,-3.0,2743
DE,-2.0,381
DE,-1.0,1371
DE,0.0,622
DE,1.0,19717
DE,2.0,16276
DE,3.0,6918
DE,4.0,7445
FL,-5.0,12895
FL,-4.0,21296
FL,-3.0,22379
FL,-2.0,24908
FL,-1.0,63426
FL,0.0,42696
FL,1.0,280430
FL,2.0,112371
FL,3.0,57560
FL,4.0,116410
FL,5.0,18696
GA,-5.0,7786
GA,-4.0,21408
GA,-3.0,1570
GA,-2.0,9271
GA,-1.0,20650
GA,0.0,5592
GA,1.0,45700
GA,2.0,11465
GA,3.0,22413
GA,4.0,8553
GA,5.0,7704
IA,-4.0,8362
IA,-3.0,321
IA,-2.0,11290
IA,0.0,691
IA,1.0,27604
IA,2.0,6475
IA,3.0,12797
IA,4.0,20957
IA,5.0,1064
ID,-4.0,3105
ID,1.0,3276
ID,2.0,695
ID,4.0,3896
IL,-4.0,18464
IL,-3.0,29509
IL,-2.0,30361
IL,-1.0,27300
IL,0.0,11832
IL,1.0,313403
IL,2.0,58165
IL,3.0,122780
IL,4.0,71993
IL,5.0,4177
IN,-4.0,4889
IN,-3.0,3045
IN,-1.0,33856
IN,0.0,14549
IN,1.0,119828
IN,2.0,32476
IN,3.0,48629
IN,4.0,35980
IN,5.0,12236
KS,-4.0,10591
KS,-3.0,8873
KS,-2.0,2503
KS,-1.0,12135
KS,0.0,1943
KS,1.0,77560
KS,2.0,11137
KS,3.0,7728
KS,4.0,4766
KS,5.0,118
KY,-1.0,15310
KY,1.0,29593
KY,2.0,33888
KY,3.0,14510
KY,4.0,30502
LA,-5.0,1472
LA,-3.0,9236
LA,-2.0,2772
LA,-1.0,4586
LA,0.0,939
LA,1.0,39868
LA,2.0,30788
LA,3.0,10566
LA,4.0,6396
MA,-5.0,9892
MA,-4.0,9837
MA,-3.0,14604
MA,-2.0,14694
MA,-1.0,51690
MA,0.0,36074
MA,1.0,340794
MA,2.0,78249
MA,3.0,31405
MA,4.0,54941
MA,5.0,16354
MD,-4.0,5258
MD,-3.0,16943
MD,-2.0,11438
MD,-1.0,57794
MD,0.0,26145
MD,1.0,120490
MD,2.0,67926
MD,3.0,64206
MD,4.0,32350
MD,5.0,7851
ME,1.0,3555
MI,-4.0,18014
MI,-3.0,26779
MI,-2.0,6053
MI,-1.0,51305
MI,0.0,28521
MI,1.0,139468
MI,2.0,32501
MI,3.0,64732
MI,4.0,32974
MI,5.0,6456
MN,-4.0,2956
MN,-3.0,3178
MN,-1.0,9960
MN,1.0,33259
MN,2.0,192
MN,3.0,17391
MN,4.0,14543
MN,5.0,5395
MO,-4.0,3363
MO,-2.0,1571
MO,-1.0,1491
MO,0.0,5533
MO,1.0,41762
MO,3.0,733
MO,4.0,5445
MS,-2.0,2278
MS,-1.0,1802
MS,0.0,3220
MS,1.0,8935
MS,2.0,6194
MS,4.0,4731
MT,0.0,926
NC,-5.0,3699
NC,-1.0,20789
NC,0.0,25208
NC,1.0,132772
NC,2.0,32240
NC,3.0,101982
NC,4.0,33855
NC,5.0,2626
ND,-2.0,1762
ND,4.0,2209
NE,-4.0,386
NE,-3.0,4328
NE,-2.0,1386
NE,1.0,9957
NH,-3.0,795
NH,-2.0,5287
NH,1.0,2203
NJ,-5.0,2790
NJ,-4.0,15762
NJ,-3.0,9410
NJ,-2.0,16364
NJ,-1.0,21859
NJ,0.0,11927
NJ,1.0,57413
NJ,2.0,47333
NJ,3.0,36208
NJ,4.0,32830
NJ,5.0,5715
NM,-2.0,1432
NM,0.0,925
NM,1.0,17437
NM,2.0,4799
NM,4.0,3814
NV,-3.0,5482
NV,-2.0,5622
NV,-1.0,23963
NV,0.0,1482
NV,1.0,67777
NV,2.0,36912
NV,3.0,20634
NV,4.0,42747
NV,5.0,7470
NY,-5.0,16290
NY,-4.0,33529
NY,-3.0,43970
NY,-2.0,67428
NY,-1.0,251015
NY,0.0,77001
NY,1.0,926611
NY,2.0,235808
NY,3.0,297278
NY,4.0,268493
NY,5.0,70261
OH,-5.0,2755
OH,-4.0,14705
OH,-3.0,18162
OH,-2.0,15896
OH,-1.0,27360
OH,0.0,27311
OH,1.0,143888
OH,2.0,48359
OH,3.0,35257
OH,4.0,36601
OH,5.0,18658
OK,-4.0,5661
OK,-3.0,5859
OK,-2.0,27270
OK,-1.0,5838
OK,1.0,11028
OK,2.0,5092
OK,3.0,7557
OR,-5.0,577
OR,-4.0,18640
OR,-2.0,2455
OR,-1.0,2491
OR,0.0,3579
OR,1.0,47042
OR,2.0,61847
OR,3.0,36675
OR,4.0,21288
OR,5.0,9525
PA,-5.0,1149
PA,-4.0,24194
PA,-3.0,12761
PA,-2.0,5586
PA,-1.0,46283
PA,0.0,23729
PA,1.0,211058
PA,2.0,57177
PA,3.0,33806
PA,4.0,52605
PA,5.0,20162
RI,-4.0,4867
RI,-3.0,13911
RI,-2.0,7410
RI,-1.0,13847
RI,1.0,8335
RI,3.0,5941
RI,4.0,3524
SC,-1.0,12794
SC,0.0,402
SC,1.0,61997
SC,2.0,17178
SC,3.0,312
SD,-1.0,5335
SD,4.0,1981
TN,-5.0,877
TN,-4.0,860
TN,-3.0,6779
TN,-2.0,14014
TN,-1.0,6222
TN,1.0,43396
TN,2.0,42074
TN,3.0,5284
TN,4.0,11933
TN,5.0,706
TX,-5.0,13496
TX,-4.0,7444
TX,-3.0,22466
TX,-2.0,27397
TX,-1.0,195133
TX,0.0,69974
TX,1.0,881424
TX,2.0,290321
TX,3.0,163225
TX,4.0,259591
TX,5.0,50799
UT,-4.0,3650
UT,-3.0,3458
UT,1.0,20246
UT,2.0,20263
UT,3.0,508
UT,4.0,3683
VA,-5.0,2826
VA,-4.0,5967
VA,-3.0,43364
VA,-2.0,57442
VA,-1.0,67334
VA,0.0,8275
VA,1.0,140722
VA,2.0,50458
VA,3.0,18508
VA,4.0,12480
VA,5.0,10551
VT,-3.0,749
VT,-2.0,4730
VT,-1.0,3093
VT,1.0,15028
VT,2.0,5991
VT,3.0,520
VT,4.0,8790
VT,5.0,65
WA,-4.0,5466
WA,-3.0,7166
WA,-2.0,7674
WA,-1.0,44822
WA,0.0,5750
WA,1.0,241092
WA,2.0,84238
WA,3.0,81218
WA,4.0,90989
WA,5.0,8102
WI,-3.0,5383
WI,-1.0,11491
WI,0.0,8649
WI,1.0,128678
WI,2.0,53989
WI,3.0,28572
WI,4.0,60126
WI,5.0,8708
WV,-1.0,4352
WV,1.0,2540
WV,3.0,318
WY,-2.0,32
WY,1.0,1930
WY,5.0,386
